Stage,Mean_RMSE,Std_RMSE,Median_RMSE
Baseline,3.985107042512258,1.1552198167255006,3.5087553842036328
ResidualEnsemble,3.695862648310848,1.213520624609292,3.2425996315078067
QGWO_GatedResidual,3.262009137256352,1.4883023012688832,2.858754309552066
QGWO_GatedResidual_PhysicsKAN,3.262009137256352,1.4883023012688832,2.858754309552066
QPEAK_Final_CausalPIMS,3.2541791788705163,1.4898288489715368,2.8472644820780126
