Fold,Seed,W_ExtraTrees_Gate,W_LightGBM_Gate,W_HuberRegressor_Gate
Seed_42,42,0.35,0.29174234562951784,0.0975240556311936
Seed_43,43,0.3217420580997551,0.07065841651236848,0.12949448696218788
Seed_44,44,0.2959643754413288,0.1309110523462402,0.12108927967150555
Seed_45,45,0.17998256532298,0.16977539373680806,0.11569838654782076
Seed_46,46,0.1189051970246749,0.0336531909266267,0.05801743847224646
