Model_Variant,Battery_ID,Battery_Label,PrePIMS_RMSE,OfflinePIMS_RMSE,CausalPIMS_RMSE,CausalPIMS_MAE,CausalPIMS_R2,QGWO_Obj
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,0,B01,2.6676773690430666,2.6627857252340883,3.551458350996607,3.4686873053546274,0.9998794363674259,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,1,B02,2.5944828941196354,2.5897153324593774,1.62461483570589,1.5074646911118241,0.9999745452314079,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,2,B03,2.2541645501119443,2.2484906900185186,1.2318899652392095,1.1172458859512153,0.9999853680977583,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,3,B04,2.8309005280696358,2.826468208730599,1.897836426688586,1.7416668604543653,0.9999652086733689,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,4,B05,26.28262850205091,26.281212368674943,26.469218158306244,26.32819949178478,0.9935568266171722,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,5,B06,7.7168944552423815,7.715273324076626,6.61420127913797,6.587730439922008,0.9995729270585157,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,6,B07,2.4947048652162587,2.48952817264492,1.593236065018659,1.4720328996031298,0.9999754564646226,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,7,B08,6.192666414346656,6.190923656721084,5.241368453184907,5.1682545263750574,0.9997329693502691,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,8,B09,2.121706312826453,2.1142192475141206,1.145669072318291,0.9572996183667813,0.9999873078226713,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,9,B10,2.018068189436069,2.0113676230881037,1.0192153326307642,0.9194217753815365,0.9999899609236127,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,10,B11,2.130072417392115,2.1239993837099185,1.1354801482066883,0.9016899019436072,0.9999875567076268,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,11,B12,2.0919137919644206,2.085878085878143,1.0731885857691636,0.8666440832126716,0.9999888744195856,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,12,B13,4.237488918468151,4.234363892093144,5.136695751724779,5.087773444485075,0.999746355674356,
QPEAK_Final_ET_LGBM_Huber_PhysicsKAN_CausalPIMS,13,B14,2.3455240655053675,2.307990389986896,3.1072009664198763,3.017685288041873,0.9999069566571565,
