Fold,Pre_Violations,OfflinePIMS_Violations,CausalPIMS_Violations,Pre_RMSE,OfflinePIMS_RMSE,CausalPIMS_RMSE
Seed_42,15,0,0,1.8509821929292007,1.8479887108853204,1.961695759803238
Seed_43,12,0,0,4.165200641622708,4.1644594781263535,3.3180450610494643
Seed_44,13,0,0,5.374018574777477,5.372485084614999,4.3176582547383875
Seed_45,14,0,0,2.0692268382580012,2.0663581031030227,1.1723049919605828
Seed_46,26,0,0,2.861689832087091,2.858754309552066,1.9078010240541237
